,date,spot,option_price
84,2025-04-04 12:04:36.527,82548.3231829159,33339.78876324436
85,2025-04-04 13:02:51.787,82701.99933626983,33485.000335271856
86,2025-04-04 14:02:03.133,82809.93939073119,33587.04859078597
87,2025-04-04 15:09:32.286,83238.43488678202,33992.58480916336
88,2025-04-04 16:09:36.258,83111.34435575195,33872.23297412729
89,2025-04-04 17:05:00.114,82881.13400156828,33654.3811478146
90,2025-04-04 18:04:54.284,83345.06970919853,34093.61117501531
91,2025-04-04 19:03:53.933,84430.20296834389,35123.970588211065
92,2025-04-04 20:04:58.705,83881.50017713505,34602.44876634794
93,2025-04-04 21:04:40.257,84003.03688086948,34717.875314123485
94,2025-04-04 22:07:01.180,83997.83057459719,34712.92969489188
95,2025-04-04 23:04:52.147,84162.25073278768,34869.16244736186
96,2025-04-05 00:04:43.435,84032.71900547225,34746.07301207527
97,2025-04-05 01:06:50.663,83733.5293123474,34461.986935327994
98,2025-04-05 02:04:30.834,83784.56595678756,34510.424921533224
99,2025-04-05 03:04:50.860,83958.723779881,34675.78404738798
100,2025-04-05 04:04:35.072,83944.75551931879,34662.51756582673
101,2025-04-05 05:07:37.484,83616.73180229477,34351.17120649235
102,2025-04-05 06:04:42.964,83658.77387416866,34391.05450860511
103,2025-04-05 07:04:43.450,83674.19259061506,34405.68308404002
104,2025-04-05 08:04:46.421,83455.56861802349,34198.341976984295
105,2025-04-05 09:04:41.783,83491.71149443637,34232.60774709529
106,2025-04-05 10:04:49.330,83508.26233301332,34248.30057541005
107,2025-04-05 11:04:55.829,83853.69411353327,34576.04789072921
108,2025-04-05 12:09:36.812,83642.02603878912,34375.16588396665
109,2025-04-05 13:09:25.025,83422.40556286192,34166.90541304357
110,2025-04-05 14:02:26.968,83241.35572383246,33995.35147195438
111,2025-04-05 15:04:54.912,82718.10761381598,33500.22656114591
112,2025-04-05 16:04:41.892,82907.99227530952,33679.78739577213
113,2025-04-05 17:04:48.270,82623.6290432163,33410.93547794971
114,2025-04-05 18:02:29.563,82734.08954677006,33515.33433234224
115,2025-04-05 19:04:45.253,82819.72161473092,33596.29903494344
116,2025-04-05 20:02:14.339,83065.2030025991,33828.55288743251
117,2025-04-05 21:04:46.036,82842.65807273751,33617.990036175106
118,2025-04-05 22:04:56.430,83048.82025070609,33813.04591699639
119,2025-04-05 23:04:59.759,82909.58127927136,33681.290578786386
120,2025-04-06 00:04:48.207,83167.51792928776,33925.420746646094
121,2025-04-06 01:04:52.197,83514.33824375339,34254.06175258454
122,2025-04-06 02:04:52.044,83478.3555807481,34219.94493434839
123,2025-04-06 03:00:54.662,83397.09190766429,34142.912278568496
124,2025-04-06 04:04:43.792,83276.1107612312,34028.274383526164
125,2025-04-06 05:04:48.480,83315.28334221698,34065.387250592656
126,2025-04-06 06:04:45.972,83466.04551371699,34208.274263197054
127,2025-04-06 07:04:53.790,83417.47028660915,34162.22741021073
128,2025-04-06 08:04:52.241,83089.49111405638,33851.544444507446
129,2025-04-06 09:02:20.660,82975.83411105986,33743.973537787395
130,2025-04-06 10:04:53.547,83007.51033558365,33773.94874652934
131,2025-04-06 11:04:52.140,83027.183569238,33792.567403547124
132,2025-04-06 12:01:41.891,82814.296001643,33591.16832375646
133,2025-04-06 13:03:54.727,82806.57594457337,33583.86807103702
134,2025-04-06 14:04:42.431,82640.53404661184,33426.90979297755
135,2025-04-06 15:04:54.271,82259.21568163771,33066.85150719513
136,2025-04-06 16:04:39.677,82583.11633305943,33372.65759220499
137,2025-04-06 17:05:36.876,82409.48424398851,33208.67495155606
138,2025-04-06 18:03:35.595,81902.07701788642,32730.13970595601
139,2025-04-06 19:09:47.199,80308.20456629425,31233.82561941167
140,2025-04-06 20:09:38.060,78970.01327663523,29986.222258499576
141,2025-04-06 21:09:29.486,79727.02415711907,30690.96763812661
142,2025-04-06 22:04:43.760,78831.61045651248,29857.671794452195
143,2025-04-06 23:04:34.872,78898.16417534047,29919.476155811186
144,2025-04-07 00:09:37.698,77918.79195001676,29012.223302952123
145,2025-04-07 01:04:25.632,78366.83212378949,29426.670667914907
146,2025-04-07 02:09:36.560,78387.6912670073,29445.99076905367
147,2025-04-07 03:43:31.760,78393.60272692906,29451.466465066267
148,2025-04-07 04:27:53.990,78102.0875366474,29181.651498682084
149,2025-04-07 05:00:32.190,77583.13554332654,28702.415441623307
150,2025-04-07 06:07:04.098,76710.56508400357,27899.873437704227
151,2025-04-07 07:04:01.885,76867.82910572468,28044.20703509709
152,2025-04-07 08:04:51.241,74773.2587934775,26133.70039471928
153,2025-04-07 09:04:57.434,75161.94887573915,26486.233441732038
154,2025-04-07 10:04:54.764,76178.35448995476,27412.460985975704
155,2025-04-07 11:01:14.412,76233.23187588078,27462.64394363737
156,2025-04-07 12:04:03.946,76919.88747388404,28092.01547920853
157,2025-04-07 13:04:51.597,76790.25609208614,27972.994882947612
158,2025-04-07 14:04:57.142,77203.88350041474,28353.08995154594
159,2025-04-07 15:02:14.119,78421.18308496752,29477.01606049473
160,2025-04-07 16:06:30.802,79250.75260353838,30247.26154226777
161,2025-04-07 17:04:41.116,78444.4226404733,29498.54744085618
162,2025-04-07 18:04:48.804,77421.74966092409,28553.669952014803
163,2025-04-07 19:04:51.047,79063.49516004637,30073.102191396734
164,2025-04-07 20:04:58.978,78467.73933090719,29520.153012794195
165,2025-04-07 21:04:38.720,78046.94250227706,29130.660269762295
166,2025-04-07 22:01:51.833,78824.84561495368,29851.390913591764
167,2025-04-07 23:04:41.932,79172.2817090801,30174.25899092744
168,2025-04-08 00:04:50.992,79898.18473633853,30850.682628509014
169,2025-04-08 01:25:35.422,79462.14204389678,30444.065622189242
170,2025-04-08 02:04:42.940,78928.09866658547,29947.28153217634
171,2025-04-08 03:04:33.216,80678.70925924664,31580.687137022556
172,2025-04-08 04:06:03.716,79900.64902994683,30852.983114386378
173,2025-04-08 05:04:58.540,79875.47993646495,30829.488378850285
174,2025-04-08 06:09:37.246,80007.32341078427,30952.59310669401
175,2025-04-08 07:04:47.463,79799.90914623915,30758.962318720492
176,2025-04-08 08:05:32.514,79411.29383844102,30396.706525998532
177,2025-04-08 09:04:59.881,79446.76021326096,30429.737980274775
178,2025-04-08 10:07:43.185,79090.38478456163,30098.100614635252
179,2025-04-08 11:05:19.110,78932.56330430893,29951.42899288432
180,2025-04-08 12:03:54.774,78970.69563692114,29986.856275241793
181,2025-04-08 13:09:47.980,79860.58407289122,30815.584817802635
182,2025-04-08 14:05:56.148,79830.81203946835,30787.799123063247
183,2025-04-08 15:04:52.051,79839.36409691784,30795.78018607045
184,2025-04-08 16:04:43.127,78772.54353637139,29802.838132455407
185,2025-04-08 17:09:32.391,78407.02418753588,29463.899214966405
186,2025-04-08 18:07:11.033,77348.32262284741,28486.04019709151
187,2025-04-08 19:09:49.532,77268.01412263024,28412.105586231628
188,2025-04-08 20:09:43.743,77152.06625886497,28305.421942834662
189,2025-04-08 21:04:48.179,76748.49569818853,27934.67269135709
190,2025-04-08 22:04:53.120,76989.32782724098,28155.810259986618
191,2025-04-08 23:01:03.759,77011.48228778424,28176.16914510411
192,2025-04-09 00:01:32.604,76617.7575009251,27814.761707794583
193,2025-04-09 01:05:21.509,76300.77843824399,27524.43625206231
194,2025-04-09 02:01:07.034,76436.39359258307,27648.577772111363
195,2025-04-09 03:04:58.560,76006.86998159163,27255.759051041023
196,2025-04-09 04:09:33.036,75658.78700635744,26938.215545095714
197,2025-04-09 05:04:51.829,75101.3997278555,26431.254546542696
198,2025-04-09 06:04:51.344,76346.08636985684,27565.899179874934
199,2025-04-09 07:04:49.838,76610.86422122183,27808.44197597861
200,2025-04-09 08:00:45.626,76915.69399121219,28088.16378568705
201,2025-04-09 09:05:21.722,77711.09591952938,28820.451844798816
202,2025-04-09 10:04:46.936,77268.17847587695,28412.256859524525
203,2025-04-09 11:33:46.596,77316.05556408654,28456.32990608673
204,2025-04-09 12:04:44.447,77214.3488944691,28362.71911129818
205,2025-04-09 13:04:44.301,76129.73403043275,27368.014337364926
206,2025-04-09 14:04:41.476,76829.34847591358,28008.87756068304
207,2025-04-09 15:09:36.107,77860.31844171116,28958.21029872857
208,2025-04-09 16:04:59.204,77023.89133348042,28187.57364413418
209,2025-04-09 17:04:53.788,77141.99408276133,28296.157990508553
210,2025-04-09 18:05:55.304,78095.08055640166,29175.171452609553
211,2025-04-09 19:04:38.303,81841.29813646984,32672.887604238727
212,2025-04-09 20:04:51.159,81938.0185184143,32764.002608150207
213,2025-04-09 21:00:17.560,82328.13489688843,33131.886552963944
214,2025-04-09 22:05:41.946,83004.7027605787,33771.29178780899
215,2025-04-09 23:04:42.421,83315.43959137528,34065.53529528703
216,2025-04-10 00:04:59.794,83058.34775924393,33822.06398750313
217,2025-04-10 01:04:50.148,82595.42668033838,33384.288194295936
218,2025-04-10 02:04:28.190,82182.12470713933,32994.127239444926
219,2025-04-10 03:09:17.592,82285.79183047339,33091.92767613354
220,2025-04-10 04:06:01.380,82121.20904532197,32936.67855704604
221,2025-04-10 05:44:15.952,81720.2016936257,32558.86224615096
222,2025-04-10 06:49:12.494,82128.18344703503,32943.25527421731
223,2025-04-10 07:19:44.095,82189.87168997104,33001.43435287752
224,2025-04-10 09:30:56.064,81696.40122795808,32536.45850874816
225,2025-04-10 09:47:37.956,81618.62070888275,32463.25857416939
226,2025-04-10 10:01:00.271,81532.13745973041,32381.897386340126
227,2025-04-10 11:57:30.741,81656.71640958315,32499.107701335313
228,2025-04-10 12:26:28.733,81549.5629152091,32398.288339530554
229,2025-04-10 13:07:59.873,81773.4962941072,32609.037571066925
230,2025-04-10 14:04:57.964,81658.41593509233,32500.707140323815
231,2025-04-10 15:04:33.966,81024.51565768477,31904.96410217863
232,2025-04-10 16:04:57.212,81329.67668040557,32191.54780004156
233,2025-04-10 17:05:00.136,78835.58867030361,29861.365509184252
234,2025-04-10 18:06:06.973,79368.23940861579,30356.615942101118
235,2025-04-10 19:08:31.092,79297.99031979717,30291.221597776595
236,2025-04-10 20:05:30.902,79529.67606306932,30506.984363802156
237,2025-04-10 21:09:28.195,79724.89465979146,30688.981390422363
238,2025-04-10 22:08:37.278,79878.62357184727,30832.42272762274
239,2025-04-10 23:05:26.534,79709.36877328751,30674.500551546385
240,2025-04-11 00:04:40.889,79715.508089801,30680.22649739909
241,2025-04-11 01:04:58.587,79556.41318002685,30531.90016755132
242,2025-04-11 02:07:39.334,79086.09032816654,30094.10796217437
243,2025-04-11 03:04:58.214,80069.49594573223,31010.672162640767
244,2025-04-11 04:04:42.488,80322.94507383362,31247.61392517406
245,2025-04-11 05:04:42.416,80758.214835068,31655.197303022273
246,2025-04-11 06:04:43.780,80822.59872142244,31715.555887574956
247,2025-04-11 07:00:59.145,80747.36408765496,31645.026707470155
248,2025-04-11 08:04:38.895,81065.03226648102,31942.991614454455
249,2025-04-11 09:04:56.499,81251.15450032747,32117.76853167494
250,2025-04-11 10:04:29.374,81531.54534166763,32381.34044259315
251,2025-04-11 11:04:55.196,82296.44406983381,33101.97946778997
252,2025-04-11 12:04:57.441,82622.7737499299,33410.127300944136
253,2025-04-11 13:04:48.038,82096.00775002626,32912.9158537991
254,2025-04-11 14:02:57.840,82039.16991257631,32859.33176469781
255,2025-04-11 15:04:51.767,82687.66283280615,33471.449692984475
256,2025-04-11 16:04:50.011,81969.68431773817,32793.84135757982
257,2025-04-11 17:06:57.101,82480.3838471879,33275.62036332592
258,2025-04-11 18:04:59.237,82782.29915850204,33560.91288115505
259,2025-04-11 19:04:08.640,83874.22618739116,34595.542108001944
260,2025-04-11 20:04:37.606,83625.9499325832,34359.91546656068
261,2025-04-11 21:04:51.501,83820.09298809218,34544.14843136168
